me_recipe_name,me_recipe_id,recipe_type,category,recipe_cost,menu_price,is_inactive
Strawberry Tequila Cooler,434939110,Cocktail,BAR,2.03,2.03,True
Stuffed Honey Nut Squash,493513265,Holiday Items,MENU,4.89,4.89,False
Stuffed Squash,490584480,Holiday Items,MENU,3.55,3.55,True
Stuffed Winter Squash - Thanksgiving,494956121,Holiday Items,MENU,8.84,8.84,False
Sturgeon Sandwich,247944435,Sandwiches,MENU,5.32,5.32,True
Sturgeon Sandwich 2.0,409363482,Sandwiches,MENU,5.11,5.11,False
Sugarloaf,345697611,Cocktail,BAR,1.91,1.91,True
Sumac Onions (pint),301899929,Deli Case,MENU,0.84,0.84,False
Sun shade,357378458,Cocktail,BAR,1.87,1.87,True
Sundown,323429369,Cocktail,BAR,1.55,1.55,True
Sunroot Daiquiri,370142215,Cocktail,BAR,1.97,1.97,False
Suntory Toki,562602802,Spirits,BAR,1.66,1.66,False
Super Skill Shot,628720199,Cocktail,BAR,1.01,1.01,True
Supergay Fire Island Gin,1237202400,Spirits,BAR,1.48,1.48,False
Supergay Southside Fizz ,1255131923,Cocktail,BAR,2.03,2.03,False
Supergay Vodka Shot,603675698,Spirits,BAR,1.38,1.38,False
Surfer On Acid Shot,253803658,Cocktail,BAR,0.11,0.11,False
Surfer on Steroids,677948402,Cocktail,BAR,2.58,2.58,False
Swedish Spritz,973143451,Cocktail,BAR,6.09,6.09,True
Sweet Potato Pie,490514059,Holiday Items,MENU,5.86,5.86,False
Sweet Potato Pie - Whole - Thanksgiving,493698269,Holiday Items,MENU,5.86,5.86,False
Swiss Cheese (retail 1/2#),301897650,Deli Case,MENU,1.45,1.45,False
Tabasco Honey Cocktail,455880187,Cocktail,BAR,2.26,2.26,True
Tahini Chocolate Swirl Pie - Whole - Thanksgiving,493699521,Holiday Items,MENU,6.65,6.65,False
Tahini Cookie,401565134,Pastries,MENU,0.2,0.2,False
Tamworth Distilling Garden White Mountain Gin Gimlet,500384519,Cocktail,BAR,2.86,2.86,False
Tamworth Distilling Garden White Mountain Gin Martini,500384950,Cocktail,BAR,3.34,3.34,False
Tamworth Distilling Garden White Mountain Gin Negroni,500383306,Cocktail,BAR,2.86,2.86,False
Tamworth Garden White Mountain Gin,500383093,Spirits,BAR,1.92,1.92,False
Tamworth Gibson,500353356,Cocktail,BAR,3.28,3.28,False
Tandem Bicicletta,1116057526,Cocktail,BAR,6.07,6.07,False
Tanqueray Gimlet,485826594,Cocktail,BAR,2.2,2.2,False
Tanqueray Gin Shot,522468698,Spirits,BAR,1.43,1.43,False
Tanqueray Martini,486192573,Cocktail,BAR,2.6,2.6,False
Tanqueray Negroni,485206918,Cocktail,BAR,2.53,2.53,False
Tecate,684888335,Beer,BAR,1.06,1.06,False
Teeling Small Batch Irish Whiskey,449578926,Spirits,BAR,1.97,1.97,False
Temps Libre,743532020,Cocktail,BAR,3.01,3.01,True
Temps Libre - SP,874240934,Cocktail,BAR,2.61,2.61,False
Ten Bends Fusion Sour,669136350,Draught Beer,BAR,2,2,True
Ten To One 5 Origin Rum ,1161668907,Spirits,BAR,2.78,2.78,False
Tequila Por Mi Amante,435612653,Spirits,BAR,1.02,1.02,False
Tequila Por Mi Amante Gimlet,435613922,Cocktail,BAR,1.7,1.7,False
Tequila Por Mi Amante Margarita,435614433,Cocktail,BAR,1.94,1.94,False
Tequila Sunrise,563649244,Cocktail,BAR,2.86,2.86,False
Terraces White Gl,684912808,Wine,BAR,2.37,2.37,True
Texas Red Rachel,981714970,Sandwiches,MENU,1.93,1.93,True
Thanksgiving - Confit Turkey & Gravy,488112937,Holiday Items,MENU,5.73,5.73,False
The Activator,827824944,Cocktail,BAR,2.11,2.11,True
The Burger,483851851,Sandwiches,MENU,2.62,2.62,False
The Champagne of Burgers,826806350,Sandwiches,MENU,2.57,2.57,False
The Last Lap,1139983275,Cocktail,BAR,2.4,2.4,True
The Prowl,468695755,Cocktail,BAR,3.23,3.23,False
Thompson and Scott,810694463,Wine,BAR,2.92,2.92,True
Thumb Rings of Saturn,715585068,Cocktail,BAR,2.51,2.51,True
Timbal Dry,816683029,Spirits,BAR,0.86,0.86,False
Tito's Martini,493490772,Cocktail,BAR,1.86,1.86,False
Tito's Milwaukee Bloody Mary,467841649,Cocktail,BAR,2.31,2.31,False
Tito's Shot,507282645,Spirits,BAR,0.93,0.93,False
Tomato Tahini Soup - retail quart,375816488,Soups & Salads,MENU,4.75,4.75,False
Tommy's Margarita,801161242,Cocktail,BAR,3.59,3.59,False
Tonic - Fountainhead ,973347253,N/A Bev,BAR,0.26,0.26,False
Top Ten Punch Sangria,253803983,Cocktail,BAR,0.85,0.85,True
Topanga,1057077013,Cocktail,BAR,1.78,1.78,False
Toronto Shot,253804230,Cocktail,BAR,0.87,0.87,False
Tradeschool Shot,840293046,Cocktail,BAR,1.19,1.19,False
Trillium Fort Point IPA,1017980780,Beer,BAR,3.33,3.33,False
Trinidad Sour,883181816,Cocktail,BAR,2.26,2.26,False
Tripping Animals Mango,499726417,Beer,BAR,4.23,4.23,True
Tucher Hefeweisen,421844816,Beer,BAR,1.72,1.72,True
Turkey and Gravy - Thanksgiving,493700548,Holiday Items,MENU,9.46,9.46,False
Turkey by the 1/2#,301905560,Deli Case,MENU,4.28,4.28,False
Turkey Gravy,488115813,Holiday Items,MENU,0.47,0.47,False
Twenty Flowers,1164191869,Cocktail,BAR,2.33,2.33,False
Twisted Tee Time,677954889,Cocktail,BAR,1.54,1.54,True
Uncle Nearest 1884,684941689,Spirits,BAR,2.51,2.51,False
Untold East by NW IPA,1022224754,Beer,BAR,2.75,2.75,False
Urban Artifact Capy Snacks,610939199,Draught Beer,BAR,1.32,1.32,True
Vago Elote,612638830,Spirits,BAR,2.67,2.67,False
Valdespino Palo Cortado 3 oz,507354883,Wine,BAR,3.55,3.55,False
Valdespino Sherry Cobbler,311645726,Cocktail,BAR,3.59,3.59,False
Valentine's Chocolate-Raspberry Heart Cake,1109531916,Pastries,MENU,3.76,3.76,False
Van Winkle Lot B 12 Year,1162819865,Spirits,BAR,8.19,8.19,False
Vaquera,346551165,Cocktail,BAR,3.03,3.03,False
Veg Lasagna,1073336209,Entree Plates,MENU,42.46,42.46,False
Vegan Matzah Ball Soup,842800239,Freezer,MENU,3.91,3.91,False
Veggie Cream Cheese (half pint),239554050,Deli Case,MENU,1.79,1.79,False
Veggie Quiche - Catering,601098496,Large Brunch Packages,MENU,5.19,5.19,False
Veggies + Nova per Person,259342402,Large Brunch Packages,MENU,2.35,2.35,False
Veggies per Person,259341922,Large Brunch Packages,MENU,0.94,0.94,False
VEP Chartreuse Green,758893785,Spirits,BAR,7.2,7.2,False
Vida Margarita,485214780,Cocktail,BAR,2.86,2.86,False
Vida Shot,562624906,Spirits,BAR,1.71,1.71,False
Virgin Bloody Moira,401549202,Drinks,MENU,1.35,1.35,True
Warm Goat Cheese,576545570,Appetizers,MENU,2.05,2.05,True
Warm Salt & Vinegar Chickpeas,417758568,Appetizers,MENU,0.53,0.53,True
Watermelon Sangria,646186950,Cocktail List,BAR,1.53,1.53,False
Welcome Baby!,338670811,Packages,MENU,40.3,40.3,False
Weldwerks Apricot Peach,628771876,Beer,BAR,4,4,True
Weldwerks Cobbler,638960818,Beer,BAR,4,4,True
Weller CYPB,1074780649,Spirits,BAR,3.22,3.22,False
Wendy's Mocktail ,1009227465,Cocktail,BAR,1.21,1.21,False
Wheatley Milwaukee Bloody Mary,576499685,Cocktail,BAR,2.08,2.08,False
Wheatley Vodka Shot,562533921,Spirits,BAR,0.75,0.75,False
Where Eagles Dare,253804508,Cocktail List,BAR,8.13,8.13,False
Whippoorwill,628719239,Cocktail,BAR,3.25,3.25,True
Whiskey Sour,562657768,Cocktail,BAR,1.61,1.61,False
White Light Glass,612661711,Wine,BAR,2.23,2.23,True
White Noise,307263921,Cocktail,BAR,1.86,1.86,False
White Tea Shot,563652962,Cocktail,BAR,1.32,1.32,False
"Whole Chocolate Cake - 6""",351507596,Pastries,MENU,5.39,5.39,False
Whole Passionfruit Cheesecake,592997892,Holiday Items,MENU,6.37,6.37,True
Wild commom repo shot,1009010504,Spirits,BAR,0.54,0.54,False
Wild Turkey 101 Bourbon Shot,562538063,Spirits,BAR,1.15,1.15,False
Wild Turkey Rare Breed,943807651,Spirits,BAR,0,,False
Wild Turkey Voyage,594300482,Spirits,BAR,12.15,12.15,False
Wilderness Trail Rye,652767999,Spirits,BAR,2.51,2.51,False
Willowdale,1123635860,Cocktail,BAR,2.95,2.95,False
Woo Woo Shot,563650992,Cocktail,BAR,0.83,0.83,False
Wooden Leg,323428043,Cocktail,BAR,2.66,2.66,False
Worthy Park Overproof,930005591,Spirits,BAR,0,,False
Wray and Nephew Daiquiri,493499494,Cocktail,BAR,1.88,1.88,True
WT 101 Manhattan,933511912,Cocktail,BAR,2.29,2.29,False
WT101 Old Fashioned,933510669,Cocktail,BAR,1.68,1.68,False
Zapps Chips - BBQ,862191514,Appetizers,MENU,1.13,1.13,False
Zapps Chips - Crawfish,862192319,Appetizers,MENU,1.6,1.6,False
Zapps Chips - Dill,862191320,Appetizers,MENU,1.6,1.6,False
Zapps Chips - Regular,862191848,Appetizers,MENU,1.6,1.6,False
Zapps Chips - Voodoo,862192024,Appetizers,MENU,1.6,1.6,False
Zero Gravity CH Haze Mini P,736779454,Draught Beer,BAR,2.66,2.66,True
Zero Gravity CH Haze Pitcher,736778646,Draught Beer,BAR,4.82,4.82,True
Zero Gravity CH Haze Shorty,736778375,Draught Beer,BAR,0.83,0.83,True
Zero Gravity Conehead Haze,736777568,Draught Beer,BAR,1.29,1.29,True
Zero Gravity Green State Light,840294123,Beer,BAR,0,,False
ZZZ New Tuna Salad (half pint),560880298,Deli Case,MENU,3.63,3.63,True
ZZZ New Tuna Salad Sandwich,560878618,Sandwiches,MENU,3.92,3.92,True
