me_recipe_name,me_recipe_id,recipe_type,category,recipe_cost,menu_price,is_inactive
Mustang Island Royale,516293499,Cocktail,BAR,2.58,2.58,False
Mustard Broccolini,551763074,Dinner Catering,MENU,2.8,2.8,False
Napkins - So you were expecting linen?,413851249,Retail,MENU,8.5,8.5,False
Nardini Amaro,816680498,Spirits,BAR,0,,False
Nashville Hot Chicken,804546000,Entree Plates,MENU,7.48,7.48,False
Native Water,619957899,N/A Bev,BAR,0.24,0.24,False
Negroni,306012067,Cocktail,BAR,2.31,2.31,False
Negroni de Maiz,715561094,Cocktail,BAR,3.27,3.27,False
Negroni Week 2023,460026632,Cocktail,BAR,2.44,2.44,True
Neisson Organic Daiquiri,493497993,Cocktail,BAR,4.19,4.19,False
New Belgium Grape Fizz Ale,930008457,Beer,BAR,1.37,1.37,True
New York Style Cheesecake,401561013,Pastries,MENU,9.91,9.91,False
News From Nowehere,382117431,Cocktail,BAR,5.38,5.38,False
Nikka Yoichi 10yr Single Malt Whiskey shot,1074800532,Spirits,BAR,7.54,7.54,False
Niman Ranch Flank Steak,783599414,Entree Plates,MENU,4.68,4.68,True
Nixta,727475253,Spirits,BAR,8.15,8.15,False
Nonino Amaro,816680966,Spirits,BAR,0,,False
Noodle Kugel (retail),301909008,Freezer,MENU,3.81,3.81,False
Not AR Bodega Brunch - Sticky Bun French Toast,593651772,Brunch Menu,MENU,2.17,2.17,False
Notch Festbier Pint,450374736,Draught Beer,BAR,1.7,1.7,True
Notch Kolsch 16oz can,935944204,Beer,BAR,2.65,2.65,True
Notch Kolsch Can,980535140,Beer,BAR,2.65,2.65,False
Notch Left of the Dial,421843611,Beer,BAR,1.27,1.27,True
Nuclear Daiquiri,720633186,Cocktail,BAR,2.84,2.84,False
Oat Milk & Sugar (Coffee Box),362817797,Drinks,MENU,2.64,2.64,False
Oat Milk Bottle (Coffee Box),362819473,Drinks,MENU,2.1,2.1,False
Oaxacan Old Fashioned,671692260,Cocktail,BAR,2.75,2.75,False
