toast_item,match_status,recipe_name,recipe_id,category,yield_qty,yield_unit,scale_numerator,scale_denominator,scale_decimal,cost,effective_cost,price,match_source
sesame bagel,3567,2026-08-06,reviewed,Sesame Bagel,246303515,MENU,1,EACH,1,1,1,0.16,0.16,add,top3
"plain, bulk",3334,2026-08-06,reviewed,Plain Bagel,246264737,MENU,1,EACH,1,1,1,0.1,0.1,add,top3
"sesame, bulk",2830,2026-08-06,reviewed,Sesame Bagel,246303515,MENU,1,EACH,1,1,1,0.16,0.16,add,top3
plain cc,2750,2026-08-06,reviewed,Add Plain Cream Cheese,412034239,PREPARED,1,EACH,1,1,1,0.4,0.4,add,search
lightly toasted,2375,2026-08-05,excluded,,,,,,,,,,,,
scallion cc,2141,2026-08-06,reviewed,Add Scallion Cream Cheese,412034788,PREPARED,1,EACH,1,1,1,0.4,0.4,add,search
splash half & half,1887,2026-08-06,reviewed,Transfer - Half & Half,949480705,PREPARED,1,EACH,1,100,0.01,2.25,0.0225,add,search
not toasted,1688,2026-08-05,excluded,,,,,,,,,,,,
splash 2% milk,1538,2026-08-06,excluded,,,,,,,,,,,,
add sliced tomato,1508,2026-08-05,reviewed,Add Tomato,412028702,PREPARED,1,EACH,1,1,1,0.23,0.23,add,search
sliced,1441,2026-08-06,excluded,,,,,,,,,,,,
splash oat milk,1275,2026-08-06,excluded,,,,,,,,,,,,
just black,1250,2026-08-05,excluded,,,,,,,,,,,,
add cucumber,1231,2026-08-05,reviewed,Add Cucumber,411561678,PREPARED,1,EACH,1,1,1,0.26,0.26,add,search
no cream cheese,1023,2026-08-05,reviewed,Side of Cream Cheese,301813400,MENU,1,EACH,1,1,1,0.29,0.29,subtract,top3
add avocado,1004,2026-08-06,reviewed,Avocado,1120291243,PREPARED,1,EACH,1,3,0.3333333333333333,1.46,0.48666666666666664,add,search
add red onion,878,2026-08-05,reviewed,Add Red Onion,412021531,PREPARED,1,EACH,1,1,1,0.05,0.05,add,search
unsliced,855,2026-08-05,excluded,,,,,,,,,,,,
extra toasted,779,2026-08-06,excluded,,,,,,,,,,,,
less cream cheese,748,2026-08-05,excluded,,,,,,,,,,,,
hal's plain,745,2026-08-05,reviewed,Hal's Potato Chips - Salted,412111470,MENU,1,BAG,1,1,1,0.98,0.98,add,search
scallion cc (v),740,2026-08-06,reviewed,Add Scallion Cream Cheese,412034788,PREPARED,1,EACH,1,1,1,0.4,0.4,add,search
veggie cc (v),715,2026-08-06,reviewed,Add Veggie Cream Cheese,412039265,PREPARED,1,EACH,1,1,1,0.4,0.4,add,search
plain cc (v),711,2026-08-06,reviewed,Add Plain Cream Cheese,412034239,PREPARED,1,EACH,1,1,1,0.4,0.4,add,search
add nova lox (2oz),698,2026-08-05,reviewed,1/2# Nova (hand-sliced),247931929,MENU,1,EACH,1,4,0.25,7.69,1.9225,add,top3
add crisp lettuce,654,2026-08-05,reviewed,Add Mixed Greens,412018710,PREPARED,1,EACH,1,1,1,0.1,0.1,add,search
squeeze of simple syrup,623,2026-08-06,reviewed,Commissary - Simple Syrup,703325287,PREPARED,1,QUART,1,48,0.020833333333333332,1.01,0.021041666666666667,add,search
no tomato,582,2026-08-05,reviewed,Add Tomato,412028702,PREPARED,1,EACH,1,1,1,0.23,0.23,subtract,search
challah roll,570,2026-08-05,reviewed,Challah Roll,245858740,MENU,1,EACH,1,1,1,0.14,0.14,add,top3
sugar in the raw,569,2026-08-06,reviewed,Transfer - Sugar in the Raw Packets,311028294,PREPARED,1,QUART,1,30,0.03333333333333333,3.65,0.12166666666666666,add,search
light rye bread,560,2026-08-05,excluded,,,,,,,,,,,,
sub scallion cream cheese,540,2026-08-05,excluded,,,,,,,,,,,,
butter,491,2026-08-06,reviewed,Add Butter,411558102,PREPARED,1,EACH,1,1,1,0.28,0.28,add,search
hal's salt and vinegar,483,2026-08-05,reviewed,Hal's Potato Chips - Salt & Vinegar,412112578,MENU,1,EACH,1,1,1,0.98,0.98,add,top3
add capers,481,2026-08-05,reviewed,Add Capers,411558203,PREPARED,1,EACH,1,1,1,0.17,0.17,add,search
add swiss (2 slices),474,2026-08-05,reviewed,Add 2 Slices Swiss,412027805,PREPARED,1,EACH,1,1,1,0.24,0.24,add,search
no capers,442,2026-08-05,reviewed,Add Capers,411558203,PREPARED,1,EACH,1,1,1,0.17,0.17,subtract,search
cream cheese on the side,431,2026-08-05,excluded,,,,,,,,,,,,
"gluten-free everything bagel (original sunshine, contains wheat, must be toasted)",415,2026-08-05,reviewed,"Transfer - Bagel, Plain Gluten Free",555818095,PREPARED,1,BAG,1,6,0.16666666666666666,12.54,2.09,add,search
"yes, include a table sign",406,2026-08-06,excluded,,,,,,,,,,,,
add eggs scrambled,394,2026-08-05,reviewed,Add Scrambled Eggs,412011490,PREPARED,1,EACH,1,1,1,0.2,0.2,add,search
no pickle,393,2026-08-05,reviewed,Side of Pickles,301811410,MENU,1,EACH,1,1,1,0.93,0.93,subtract,top3
add organic vanilla syrup,388,2026-08-05,reviewed,Transfer - Vanilla Syrup (kakow),311037729,PREPARED,1,BOTTLE,1,48,0.020833333333333332,10.75,0.22395833333333331,add,search
hal's sour cream and onion,378,2026-08-05,reviewed,"Hal's Potato Chips, Sour Cream & Onion",412112115,MENU,1,EACH,1,1,1,0.98,0.98,add,top3
no onions,378,2026-08-05,reviewed,Add Red Onion,412021531,PREPARED,1,EACH,1,1,1,0.05,0.05,subtract,search
"gluten-free plain bagel (original sunshine, contains wheat, must be toasted)",375,2026-08-05,reviewed,"Transfer - Bagel's, Plain Gluten Free",556584456,PREPARED,1,BAG,1,6,0.16666666666666666,12.54,2.09,add,search
lox cc,369,2026-08-05,reviewed,Add Lox Cream Cheese,412033535,PREPARED,1,EACH,1,1,1,0.77,0.77,add,search
add cheddar (2 slices),355,2026-08-05,reviewed,Add 2 Slices Cheddar,411558934,PREPARED,1,EACH,1,1,1,0.4,0.4,add,search
add sliced turkey (2oz),316,2026-08-05,reviewed,Add Sliced Turkey 2oz.,412022768,PREPARED,1,EACH,1,1,1,1.02,1.02,add,search
rotating: chili crisp cc,302,2026-08-05,excluded,,,,,,,,,,,,
hot,290,2026-07-21,excluded,,,,,,,,,,,,
add sliced pickles,273,2026-08-05,reviewed,Add Sliced Pickles,449485183,PREPARED,1,OUNCE,1,1,1,0.31,0.31,add,search
add pickled carrots,263,2026-08-05,reviewed,Add Pickled Carrots,412020047,PREPARED,1,EACH,1,1,1,0.08,0.08,add,search
add caramelized onions,256,2026-08-06,excluded,,,,,,,,,,,,
add egg hard boiled,254,2026-08-05,reviewed,Commissary - Hard Boiled Eggs,272526595,PREPARED,30,EACH,1,30,0.03333333333333333,3.03,0.10099999999999999,add,search
splenda,253,2026-08-05,reviewed,Transfer - Splenda Packets,311029832,PREPARED,1,QUART,1,30,0.03333333333333333,2.74,0.09133333333333334,add,search
add a latke,245,2026-08-05,reviewed,Commissary - Latkes ,488957608,PREPARED,1,EACH,1,1,1,0.14,0.14,add,search
no cheese,233,2026-08-05,reviewed,Add 2 Slices Cheddar,411558934,PREPARED,1,EACH,1,1,1,0.4,0.4,subtract,search
russian dressing on side,226,2026-08-04,excluded,,,,,,,,,,,,
scooped,221,2026-08-06,excluded,,,,,,,,,,,,
cinnamon raisin bagel (wednesdays only!),217,2026-08-06,reviewed,Cinnamon Raisin Bagel - Fresh ,606317604,MENU,1,EACH,1,1,1,0.26,0.26,add,top3
no russian dressing,209,2026-08-05,reviewed,Side of Russian Dressing,301818243,MENU,1,EACH,1,1,1,0.1,0.1,subtract,top3
no crisp lettuce,207,2026-08-05,reviewed,Add Mixed Greens,412018710,PREPARED,1,EACH,1,1,1,0.1,0.1,subtract,search
add sumac onions,197,2026-08-05,reviewed,Add Sumac Onions,412027003,PREPARED,1,EACH,1,1,1,0.11,0.11,add,search
tofutti scallion (v+),195,2026-08-04,reviewed,Add Tofutti Scallion,412039116,PREPARED,1,EACH,1,1,1,0.35,0.35,add,search
add hots,188,2026-08-05,reviewed,Add Hots,412015521,PREPARED,1,EACH,1,1,1,0.06,0.06,add,search
add lemon,187,2026-08-05,excluded,,,,,,,,,,,,
add mayo,186,2026-08-05,reviewed,Side Mayo ,854447371,MENU,1,SERVING,1,1,1,0.16,0.16,add,top3
*gluten allergy* (cross contamination may occur),181,2026-08-05,excluded,,,,,,,,,,,,
add mustard,178,2026-08-04,reviewed,Side of Mustard,301816892,MENU,1,EACH,1,1,1,0.28,0.28,add,top3
light ice,164,2026-08-05,excluded,,,,,,,,,,,,
add organic hazelnut syrup,158,2026-08-05,reviewed,Transfer - Hazelnut Syrup (kakow),311037900,PREPARED,1,BOTTLE,1,48,0.020833333333333332,10.75,0.22395833333333331,add,search
add pastrami (2 oz),156,2026-08-05,reviewed,Add Pastrami 2oz.,412019353,PREPARED,1,EACH,1,1,1,1.2,1.2,add,search
pumpernickel bagel (thursdays only!),153,2026-08-06,reviewed,Pumpernickel Bagel,246309202,MENU,1,EACH,1,1,1,0.16,0.16,add,top3
no mustard,147,2026-08-05,reviewed,Side of Mustard,301816892,MENU,1,EACH,1,1,1,0.28,0.28,subtract,top3
mustard on side,146,2026-08-05,excluded,,,,,,,,,,,,
add cream cheese,143,2026-08-05,reviewed,Side of Cream Cheese,301813400,MENU,1,EACH,1,1,1,0.29,0.29,add,top3
add coleslaw,141,2026-08-05,reviewed,Add Coleslaw,411560454,PREPARED,1,EACH,1,1,1,0.2,0.2,add,search
"9"" (large)",141,2026-08-04,excluded,,,,,,,,,,,,
add hummus (2 oz),133,2026-08-04,reviewed,Add Hummus 2oz.,412015847,PREPARED,1,EACH,1,1,1,0.48,0.48,add,search
add radish,133,2026-08-05,reviewed,Add Radish,412020570,PREPARED,1,EACH,1,1,1,0.17,0.17,add,search
add sauerkraut,127,2026-08-04,reviewed,Add Sauerkraut,412022603,PREPARED,1,EACH,1,1,1,0.11,0.11,add,search
decaf (not available for black iced tea),126,2026-08-04,excluded,,,,,,,,,,,,
ketchup packet,120,2026-08-05,reviewed,Side Ketchup,1234737342,MENU,2,OUNCE,1,1,1,0.07,0.07,add,search
no red onion,120,2026-08-05,reviewed,Add Red Onion,412021531,PREPARED,1,EACH,1,1,1,0.05,0.05,subtract,search
no sauerkraut,116,2026-08-05,reviewed,Add Sauerkraut,412022603,PREPARED,1,EACH,1,1,1,0.11,0.11,subtract,search
i would like to add a discounted cup of soup,115,2026-08-04,reviewed,Cup Matzah Ball Soup,245898926,MENU,1,EACH,1,1,1,0.73,0.73,add,search
tofutti plain (v+),115,2026-08-04,reviewed,Add Tofutti Plain,412038809,PREPARED,1,EACH,1,1,1,0.35,0.35,add,search
add zhoug mayo (jalapeño and cilantro),113,2026-08-05,reviewed,Add Zhoug Mayo,412031791,PREPARED,1,EACH,1,1,1,0.17,0.17,add,search
sub tofutti scallion (v+),107,2026-08-05,excluded,,,,,,,,,,,,
add russian dressing,106,2026-08-04,reviewed,Side of Russian Dressing,301818243,MENU,1,EACH,1,1,1,0.1,0.1,add,top3
fork,103,2026-08-05,reviewed,"Transfer - Fork, To Go",836293532,PREPARED,1,PACKAGE,1,50,0.02,2.22,0.0444,add,search
knife,102,2026-08-05,reviewed,"Transfer - Knife, To Go",836290743,PREPARED,1,PACKAGE,1,50,0.02,2.17,0.0434,add,search
add kippered salmon (2oz),102,2026-08-04,reviewed,Add Kippered Salmon 2oz.,412011969,PREPARED,1,EACH,1,1,1,2.16,2.16,add,search
add mustardy mayo,96,2026-08-05,reviewed,Add Mustardy-Mayo,412019170,PREPARED,1,EACH,1,1,1,0.2,0.2,add,search
squeeze of honey,95,2026-08-04,excluded,,,,,,,,,,,,
*tree nut allergy* (cross contamination may occur),95,2026-08-03,excluded,,,,,,,,,,,,
light mustard,94,2026-08-05,excluded,,,,,,,,,,,,
add tuna salad (4oz),91,2026-08-04,reviewed,Add Tuna Salad 4oz.,412029031,PREPARED,1,EACH,1,1,1,1.69,1.69,add,search
add smoked mushrooms (2oz),91,2026-08-05,reviewed,Add Smoked Mushrooms,412026866,PREPARED,1,EACH,1,1,1,0.52,0.52,add,search
add raspberry jam,87,2026-08-05,reviewed,Add Raspberry Jam,412021275,PREPARED,1,EACH,1,1,1,0.47,0.47,add,search
*peanut allergy* (cross contamination may occur),87,2026-08-05,excluded,,,,,,,,,,,,
double sour cream (no applesauce),85,2026-08-05,excluded,,,,,,,,,,,,
add corned beef (2oz),84,2026-08-04,reviewed,Add Corned Beef 2oz.,411561545,PREPARED,1,EACH,1,1,1,1.32,1.32,add,search
double applesauce (no sour cream),84,2026-08-03,excluded,,,,,,,,,,,,
no sliced pickles,82,2026-08-05,reviewed,Add Sliced Pickles,449485183,PREPARED,1,OUNCE,1,1,1,0.31,0.31,add,search
add fox's u-bet chocolate syrup,80,2026-08-02,excluded,,,,,,,,,,,,
add dill mayo,80,2026-08-05,reviewed,Add Dill Mayo,412010849,PREPARED,1,EACH,1,1,1,0.13,0.13,add,search
add salami (2 oz),77,2026-08-05,reviewed,Add Salami 2oz.,412022180,PREPARED,1,EACH,1,1,1,0.84,0.84,add,search
add chicken schnitzel,77,2026-08-05,reviewed,Add Schnitzel Chicken,411559165,PREPARED,1,EACH,1,1,1,1.43,1.43,add,search
add egg salad (4oz),75,2026-08-05,reviewed,Add Egg Salad,412011085,PREPARED,1,EACH,1,1,1,0.39,0.39,add,search
manischewitz vinaigrette (served on side),74,2026-08-05,reviewed,Commissary - Manischewitz Vinaigrette,272975681,PREPARED,4,QUART,1,32,0.03125,24.33,0.7603125,add,search
tahini vinaigrette (served on side),74,2026-08-05,reviewed,Tahini Vinaigrette,451465566,PREPARED,208,OUNCE,1,104,0.009615384615384616,42.05,0.4043269230769231,add,search
chocolate,73,2026-08-04,excluded,,,,,,,,,,,,
rotating: funfetti cc,72,2026-07-02,excluded,,,,,,,,,,,,
add herb marinated halloumi,72,2026-08-05,reviewed,Add Halloumi,412015193,PREPARED,1,EACH,1,1,1,1.19,1.19,add,search
"6"" (small)",71,2026-07-20,excluded,,,,,,,,,,,,
add butter,70,2026-08-05,reviewed,Add Butter,411558102,PREPARED,1,EACH,1,1,1,0.28,0.28,add,search
china green jade,70,2026-08-04,excluded,,,,,,,,,,,,
add chopped liver (2 oz),69,2026-08-04,reviewed,Add Chopped Liver,411559435,PREPARED,1,EACH,1,1,1,0.38,0.38,add,search
i’m bringing my own cup!,66,2026-08-01,excluded,,,,,,,,,,,,
add chicken salad (4oz),65,2026-08-03,reviewed,Add Chicken Salad,411559022,PREPARED,1,EACH,1,1,1,0.64,0.64,add,search
sub latkes for bread,64,2026-08-04,excluded,,,,,,,,,,,,
no turkey,61,2026-08-04,reviewed,Add Sliced Turkey 4oz.,412023063,PREPARED,1,EACH,1,1,1,2.05,2.05,subtract,search
no ketchup,59,2026-08-05,excluded,,,,,,,,,,,,
no dressing,58,2026-08-05,reviewed,Side of Russian Dressing,301818243,MENU,1,EACH,1,1,1,0.1,0.1,subtract,top3
no zhoug mayo,57,2026-08-05,reviewed,Add Zhoug Mayo,412031791,PREPARED,1,EACH,1,1,1,0.17,0.17,subtract,search
cold,55,2026-07-21,excluded,,,,,,,,,,,,
*milk allergy* (cross contamination may occur),53,2026-08-03,excluded,,,,,,,,,,,,
scallion tofutti (v+),51,2026-08-04,reviewed,Add Tofutti Scallion,412039116,PREPARED,1,EACH,1,1,1,0.35,0.35,add,search
sub russian dressing,50,2026-08-05,excluded,,,,,,,,,,,,
sub plain cream cheese,49,2026-08-02,excluded,,,,,,,,,,,,
english breakfast,47,2026-08-05,excluded,,,,,,,,,,,,
no cucumbers,46,2026-08-04,reviewed,Add Cucumber,411561678,PREPARED,1,EACH,1,1,1,0.26,0.26,subtract,search
stevia in the raw,46,2026-08-05,excluded,,,,,,,,,,,,
sub tofutti plain (v+),46,2026-08-04,excluded,,,,,,,,,,,,
rotating: pickle cc,45,2026-08-05,excluded,,,,,,,,,,,,
add sunflower seeds (fried),45,2026-08-05,reviewed,Add Fried Sunflower Seeds,449496440,PREPARED,1.5,TABLESPOON,1,1,1,0.05,0.05,add,search
zhoug mayo on side,44,2026-08-05,excluded,,,,,,,,,,,,
decaf (not available for iced coffee/tea),44,2026-08-04,excluded,,,,,,,,,,,,
butter on the side,42,2026-08-04,excluded,,,,,,,,,,,,
sub lox cream cheese,42,2026-08-04,excluded,,,,,,,,,,,,
no coleslaw,40,2026-08-05,reviewed,Add Coleslaw,411560454,PREPARED,1,EACH,1,1,1,0.2,0.2,add,search
rainbow bagel (6/1-6/7 only),40,2026-06-17,excluded,,,,,,,,,,,,
spoon,39,2026-08-05,reviewed,"Transfer - Spoon, To Go",836291582,PREPARED,1,PACKAGE,1,50,0.02,1.49,0.0298,add,search
cinnamon,37,2026-08-05,excluded,,,,,,,,,,,,
heavy cream cheese,36,2026-08-05,reviewed,Side of Cream Cheese,301813400,MENU,1,EACH,1,1,1,0.29,0.29,add,top3
raspberry jam on side,35,2026-08-05,excluded,,,,,,,,,,,,
sub veggie cream cheese,35,2026-07-31,excluded,,,,,,,,,,,,
earl grey,34,2026-08-03,excluded,,,,,,,,,,,,
no avocado,31,2026-08-04,reviewed,Avocado,1120291243,PREPARED,1,EACH,1,3,0.3333333333333333,1.46,0.48666666666666664,subtract,search
less butter,31,2026-08-01,reviewed,Add Butter,411558102,PREPARED,1,EACH,1,2,0.5,0.28,0.14,subtract,search
add smoked whitefish salad (4oz),31,2026-08-02,reviewed,Add Whitefish Salad 4oz.,412029344,PREPARED,1,EACH,1,1,1,1.29,1.29,add,search
no dill mayo,31,2026-08-02,reviewed,Add Dill Mayo,412010849,PREPARED,1,EACH,1,1,1,0.13,0.13,subtract,search
add diced turkey (4oz),30,2026-08-05,reviewed,Add Sliced Turkey 4oz.,412023063,PREPARED,1,EACH,1,1,1,2.05,2.05,add,search
no table sign,30,2026-08-06,excluded,,,,,,,,,,,,
everything gluten-free,30,2026-08-04,reviewed,"Transfer - Bagels, Everything Gluten Free",555816534,PREPARED,1,BAG,1,6,0.16666666666666666,13.47,2.245,add,search
no mustardy mayo,28,2026-08-05,unresolved,,,,,,,,,,,,
cut in half,27,2026-08-04,unresolved,,,,,,,,,,,,
add sour cream on side,25,2026-08-03,unresolved,,,,,,,,,,,,
heavy butter,25,2026-08-01,unresolved,,,,,,,,,,,,
no onion,25,2026-08-05,unresolved,,,,,,,,,,,,
*seafood allergy* (cross contamination may occur),24,2026-08-01,unresolved,,,,,,,,,,,,
plain tofutti (v+),22,2026-08-02,unresolved,,,,,,,,,,,,
*sesame allergy* (cross contamination may occur),22,2026-07-31,unresolved,,,,,,,,,,,,
no chicken / vegetables,22,2026-08-03,unresolved,,,,,,,,,,,,
half & half and sugar,21,2026-08-05,unresolved,,,,,,,,,,,,
plain gluten-free,20,2026-08-03,unresolved,,,,,,,,,,,,
no matzah ball,20,2026-08-03,unresolved,,,,,,,,,,,,
mint,20,2026-08-03,unresolved,,,,,,,,,,,,
2% milk and sugar,20,2026-07-26,unresolved,,,,,,,,,,,,
mustardy mayo on side,19,2026-08-02,unresolved,,,,,,,,,,,,
add sable (2oz),17,2026-08-02,unresolved,,,,,,,,,,,,
add tongue (2 oz),16,2026-07-27,unresolved,,,,,,,,,,,,
no herb marinated halloumi,16,2026-08-04,unresolved,,,,,,,,,,,,
handle bag,16,2026-07-31,unresolved,,,,,,,,,,,,
*egg allergy* (cross contamination may occur),16,2026-08-02,unresolved,,,,,,,,,,,,
no egg,15,2026-08-01,unresolved,,,,,,,,,,,,
lemon chamomile,14,2026-08-03,unresolved,,,,,,,,,,,,
oat milk and sugar,13,2026-08-04,unresolved,,,,,,,,,,,,
m,13,2026-08-02,unresolved,,,,,,,,,,,,
add an extra manischewitz vinaigrette,13,2026-07-31,unresolved,,,,,,,,,,,,
add malt powder,13,2026-08-04,unresolved,,,,,,,,,,,,
veggie cc,13,2026-07-29,unresolved,,,,,,,,,,,,
extra nova lox (1 oz),13,2026-08-03,unresolved,,,,,,,,,,,,
box,12,2026-08-06,unresolved,,,,,,,,,,,,
add nova lox (1oz / leo portion),12,2026-07-20,unresolved,,,,,,,,,,,,
l,12,2026-07-26,unresolved,,,,,,,,,,,,
"inscription (written in chocolate only, provide text in request box below)",11,2026-08-06,unresolved,,,,,,,,,,,,
"8"" chocolate cake (serves 10-14) (5 layers)",10,2026-08-06,unresolved,,,,,,,,,,,,
add a blintz,10,2026-07-30,unresolved,,,,,,,,,,,,
no discounted soup for me thanks,10,2026-08-01,unresolved,,,,,,,,,,,,
no cheddar cheese,9,2026-08-04,unresolved,,,,,,,,,,,,
no pickled carrots,8,2026-07-31,unresolved,,,,,,,,,,,,
mazel tov,8,2026-08-05,unresolved,,,,,,,,,,,,
xl,8,2026-08-03,unresolved,,,,,,,,,,,,
decaf (not available for iced coffee),7,2026-07-21,unresolved,,,,,,,,,,,,
no sunflower seeds,6,2026-08-03,unresolved,,,,,,,,,,,,
10 inch layer cake (serves 15 to 20),6,2026-08-06,unresolved,,,,,,,,,,,,
*soy allergy* (cross contamination may occur),5,2026-07-31,unresolved,,,,,,,,,,,,
6 inch layer cake (serves 6 to 8),5,2026-07-16,unresolved,,,,,,,,,,,,
no hard boiled egg,5,2026-07-31,unresolved,,,,,,,,,,,,
"6"" chocolate cake (serves 6-8) (4 layers)",5,2026-07-29,unresolved,,,,,,,,,,,,
no inscription,5,2026-07-18,unresolved,,,,,,,,,,,,
*wheat allergy* (cross contamination may occur),5,2026-07-31,unresolved,,,,,,,,,,,,
decaf english breakfast,4,2026-07-29,unresolved,,,,,,,,,,,,
xxl,4,2026-07-31,unresolved,,,,,,,,,,,,
4t,4,2026-07-30,unresolved,,,,,,,,,,,,
large,4,2026-08-02,unresolved,,,,,,,,,,,,
sub fomu,4,2026-06-27,unresolved,,,,,,,,,,,,
no tahini ranch,4,2026-07-24,unresolved,,,,,,,,,,,,
s,3,2026-07-22,unresolved,,,,,,,,,,,,
sub matzah for bread,3,2026-08-04,unresolved,,,,,,,,,,,,
no  radish,3,2026-08-01,unresolved,,,,,,,,,,,,
youth l,3,2026-06-14,unresolved,,,,,,,,,,,,
l'chaim,3,2026-07-24,unresolved,,,,,,,,,,,,
half sheet cake (serves 40 to 60),3,2026-07-21,unresolved,,,,,,,,,,,,
sliced into 8 pieces,3,2026-07-20,unresolved,,,,,,,,,,,,
2t,2,2026-07-21,unresolved,,,,,,,,,,,,
bulk (ingredients are plattered together by type),2,2026-07-26,unresolved,,,,,,,,,,,,
tofutti scallion (non-dairy),2,2026-07-28,unresolved,,,,,,,,,,,,
no salmon,2,2026-07-14,unresolved,,,,,,,,,,,,
schmuck,2,2026-07-17,unresolved,,,,,,,,,,,,
individual  (each platter has a mix of all ingredients),2,2026-08-04,unresolved,,,,,,,,,,,,
no bulgur wheat,2,2026-08-03,unresolved,,,,,,,,,,,,
add 1 matzah ball,2,2026-07-24,unresolved,,,,,,,,,,,,
add vodka,1,2026-06-11,unresolved,,,,,,,,,,,,
no mushrooms,1,2026-06-19,unresolved,,,,,,,,,,,,
chili dog seasoned yellow mustard,1,2026-07-27,unresolved,,,,,,,,,,,,
no raspberry jam,1,2026-07-13,unresolved,,,,,,,,,,,,
challah rolls (bag of 4),1,2026-06-17,unresolved,,,,,,,,,,,,
frozen,1,2026-07-31,unresolved,,,,,,,,,,,,
small,1,2026-07-30,unresolved,,,,,,,,,,,,
tempered,1,2026-07-08,unresolved,,,,,,,,,,,,
nosh,1,2026-06-08,unresolved,,,,,,,,,,,,
no chickpeas,1,2026-06-24,unresolved,,,,,,,,,,,,
medium,1,2026-07-29,unresolved,,,,,,,,,,,,
no strawberries,1,2026-06-14,unresolved,,,,,,,,,,,,
adult xl,1,2026-06-20,unresolved,,,,,,,,,,,,
8 inch layer cake (serves 10 to 14),1,2026-06-16,unresolved,,,,,,,,,,,,
nova lox (1/2 lb hand-sliced),1,2026-06-16,unresolved,,,,,,,,,,,,
no mixed greens,1,2026-07-12,unresolved,,,,,,,,,,,,
"10"" whole chocolate layer cake (serves 15-20)",1,2026-08-01,unresolved,,,,,,,,,,,,
tofutti plain (non-dairy),1,2026-06-20,unresolved,,,,,,,,,,,,
mamaleh's raspberry jam (10oz),1,2026-08-03,unresolved,,,,,,,,,,,,
adult small,1,2026-07-01,unresolved,,,,,,,,,,,,
12 inch layer cake (serves 25 to 35),1,2026-07-14,unresolved,,,,,,,,,,,,
(stale — not seen in 60 days),,,excluded,,,,,,,,,,,,bulk:1505_names
